ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
d20bvamba1919-animal-1-1,d20bvamba1919-animal-1,Ny-ama,animal-1,false,expert,,,,
d20bvamba1919-arm-1-1,d20bvamba1919-arm-1,K-ɯkɯ,arm-1,false,expert,,,,
d20bvamba1919-belly-1-1,d20bvamba1919-belly-1,Ki-hu,belly-26,false,expert,,,,
d20bvamba1919-bird-1-1,d20bvamba1919-bird-1,Ny-uni,bird-2,false,expert,,,,
d20bvamba1919-bone-1-1,d20bvamba1919-bone-1,Ma-kue,bone-2,false,expert,,,,
d20bvamba1919-breast-1-1,d20bvamba1919-breast-1,I-were,breast-1,false,expert,,,,
d20bvamba1919-child-1-1,d20bvamba1919-child-1,Mu-kerembe,child-7,false,expert,,,,
d20bvamba1919-come-1-1,d20bvamba1919-come-1,vu,come-33,false,expert,,,,
d20bvamba1919-dog-1-1,d20bvamba1919-dog-1,M-bwa,dog-1,false,expert,,,,
d20bvamba1919-ear-1-1,d20bvamba1919-ear-1,Ku-tue,ear-4,false,expert,,,,
d20bvamba1919-egg-1-1,d20bvamba1919-egg-1,Ma-hɯli,egg-18,false,expert,,,,
d20bvamba1919-elephant-1-1,d20bvamba1919-elephant-1,N-dsɯgu,elephant-4,false,expert,,,,
d20bvamba1919-eye-1-1,d20bvamba1919-eye-1,Li-isɯ,eye-2,false,expert,,,,
d20bvamba1919-face-1-1,d20bvamba1919-face-1,Al-insɯ,face-4,false,expert,,,,
d20bvamba1919-fatoil-1-1,d20bvamba1919-fatoil-1,Bi-sabɯ,fatoil-17,false,expert,,,,
d20bvamba1919-fingernail-1-1,d20bvamba1919-fingernail-1,Ki-kuru,fingernail-27,false,expert,,,,
d20bvamba1919-fire-1-1,d20bvamba1919-fire-1,Mu-lirɯ,fire-29,false,expert,,,,
d20bvamba1919-fish-1-1,d20bvamba1919-fish-1,I-sui,fish-1,false,expert,,,,
d20bvamba1919-five-1-1,d20bvamba1919-five-1,tanɯ,five-1,false,expert,,,,
d20bvamba1919-four-1-1,d20bvamba1919-four-1,nai,four-4,false,expert,,,,
d20bvamba1919-goat-1-1,d20bvamba1919-goat-1,M-buli,goat-1,false,expert,,,,
d20bvamba1919-hair-1-1,d20bvamba1919-hair-1,I-sɯkɯ,hair-6,false,expert,,,,
d20bvamba1919-head-1-1,d20bvamba1919-head-1,Mu-twe,head-3,false,expert,,,,
d20bvamba1919-heart-1-1,d20bvamba1919-heart-1,Mu-tema,heart-1,false,expert,,,,
d20bvamba1919-house-1-1,d20bvamba1919-house-1,Ny-umba,house-23,false,expert,,,,
d20bvamba1919-hunger-1-1,d20bvamba1919-hunger-1,N-jera,hunger-7,false,expert,,,,
