ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Source
a11londo,A11_Londo,orok1266,Oroko,bdu,Africa,4.89504,9.15209,Atlantic-Congo,45733
a121mbonge,A121_Mbonge,orok1266,Oroko,bdu,Africa,4.89504,9.15209,Atlantic-Congo,124722
a122bakundu,A122_Bakundu,orok1266,Oroko,bdu,Africa,4.89504,9.15209,Atlantic-Congo,ALGABA122Bakundu
a141lefo,A141_Lefo,bafa1247,Bafaw-Balong,bwt,Africa,4.53307,9.522,Atlantic-Congo,124592
a151nkongho,A151_Nkongho,nkon1247,Nkongho,nkc,Africa,5.33848,9.80096,Atlantic-Congo,124592
a15ambuu,A15A_Mbuu,mboc1235,Mbo (Cameroon),mbo,Africa,5.13981,9.92766,Atlantic-Congo,124592
a15bmiengenwmanenguba,A15B_Mienge_NW_Manenguba,bass1260,Bassossi,bsi,Africa,5.23655,9.52275,Atlantic-Congo,124592
a15cakossi,A15C_Akossi,akoo1248,Akoose,bss,Africa,4.9243,9.65522,Atlantic-Congo,124592
a15celungcentralmanenguba,A15C_Elung_Central_Manenguba,akoo1248,Akoose,bss,Africa,4.9243,9.65522,Atlantic-Congo,124592
a15cmkaa,A15C_Mkaa,baka1273,Bakaka,bqz,Africa,4.79991,9.80402,Atlantic-Congo,124592
a15manenguba,A15_Manenguba,bass1260,Bassossi,bsi,Africa,5.23655,9.52275,Atlantic-Congo,124592
a22bakweri,A22_Bakweri,mokp1239,Mokpwe,bri,Africa,4.24178,9.23887,Atlantic-Congo,CBOLDA22Bakweri
a24duala,A24_Duala,dual1243,Duala,dua,Africa,4.10208,9.61877,Atlantic-Congo,153918
a27malimba,A27_Malimba,mali1280,Malimba,mzd,Africa,3.67696,9.67186,Atlantic-Congo,84020
a31bubi,A31_Bubi,bube1242,Bube,bvb,Africa,3.53638,8.68929,Atlantic-Congo,54475
a32cbatanga,A32C_Batanga,bata1285,Batanga,bnm,Africa,1.397041,9.51011,Atlantic-Congo,29588
a33ayasa,A33a_Yasa,yasa1242,Yasa,yko,Africa,2.06043,10.678,Atlantic-Congo,319422
a34benga,A34_Benga,beng1282,Benga,bng,Africa,1.075766,9.600739,Atlantic-Congo,ALGABA34Benga
a41barombikang,A41_Barombi-Kang,baro1252,Barombi,bbi,Africa,4.64584,9.25261,Atlantic-Congo,84020
a42abo,A42_Abo,bank1256,Bankon,abb,Africa,4.3702,9.6403,Atlantic-Congo,84020
a43abasaa,A43a_Basaa,basa1284,Basa (Cameroon),bas,Africa,3.80765,10.4213,Atlantic-Congo,ALGABA43aBasaa
a44tunen,A44_Tunen,tune1261,Tunen,tvu,Africa,4.75,10.67,Atlantic-Congo,99410
a45nyokon,A45_Nyokon,nyok1243,Nyokon,nvo,Africa,4.75,10.5,Atlantic-Congo,33090
a462yambeta,A462_Yambeta,yamb1252,Yambeta,yat,Africa,4.83615,10.9369,Atlantic-Congo,33090
a46nomaande,A46_Nomaande,noma1260,Nomaande,lem,Africa,4.5893,10.9157,Atlantic-Congo,Taylor2003
a51bafiamaja,A51_Bafia_maja,bafi1243,Bafia,ksf,Africa,4.72603,11.0982,Atlantic-Congo,29588
a53bafiarikpa,A53_Bafia_rikpa,bafi1243,Bafia,ksf,Africa,4.72603,11.0982,Atlantic-Congo,142993
a54tibea,A54_Tibea,tibe1274,Tibea,ngy,Africa,5.30535,11.3103,Atlantic-Congo,42526
a601tuki,A601_Tuki,tuki1240,Tuki,bag,Africa,4.64348,11.5353,Atlantic-Congo,74679
a61ngoroasom,A61_Ngoro-Asom,tuki1240,Tuki,bag,Africa,4.64348,11.5353,Atlantic-Congo,42526
a61ngorobisoo,A61_Ngoro-Bisoo,tuki1240,Tuki,bag,Africa,4.64348,11.5353,Atlantic-Congo,42526
a61ngorolunda,A61_Ngoro-lunda,tuki1240,Tuki,bag,Africa,4.64348,11.5353,Atlantic-Congo,42526
a621nubaca,A621_Nubaca,nuba1241,Nubaca,baf,Africa,4.35696,11.029,Atlantic-Congo,42526
a622nugunu,A622_Nugunu,nugu1242,Nugunu (Cameroon),yas,Africa,4.63103,11.1837,Atlantic-Congo,RobinsonNugunu
a62anuasue,A62A_Nuasue,yang1293,Yangben,yav,Africa,4.41971,11.0277,Atlantic-Congo,33021
a62anukalonge,A62A_Nukalonge,yang1293,Yangben,yav,Africa,4.41971,11.0277,Atlantic-Congo,PaulianKalong
a62bmmala,A62B_Mmala,mmaa1238,Mmaala,mmu,Africa,4.52188,11.0599,Atlantic-Congo,116661
a62clibie,A62C_Libie,elip1238,Elip,ekm,Africa,4.45694,11.193,Atlantic-Congo,116661
a63mangisa,A63_Mangisa,eton1253,Eton (Cameroon),eto,Africa,4.21045,11.3935,Atlantic-Congo,SILMangisa
a71eton,A71_Eton,eton1253,Eton (Cameroon),eto,Africa,4.21045,11.3935,Atlantic-Congo,26083
a72aewondo,A72a_Ewondo,ewon1239,Ewondo,ewo,Africa,4.21141,11.93646,Atlantic-Congo,153533
a74abulu,A74a_Bulu,bulu1251,Bulu (Cameroon),bum,Africa,3.16141,11.6365,Atlantic-Congo,45568
a75afangbitam,A75a_Fang_Bitam,fang1246,Fang (Equatorial Guinea),fan,Africa,1.723965,11.61454,Atlantic-Congo,ALGABA75aFangBitam
a75afangmedouneu,A75a_Fang_Medouneu,fang1246,Fang (Equatorial Guinea),fan,Africa,1.723965,11.61454,Atlantic-Congo,ALGABA75aFangMedouneu
a75afangminvoul,A75a_Fang_Minvoul,fang1246,Fang (Equatorial Guinea),fan,Africa,1.723965,11.61454,Atlantic-Congo,ALGABA75aFangMinvoul
a803shiwa,A803_Shiwa,shiw1234,Shiwa,,Africa,-0.091645,11.947061,Atlantic-Congo,ALGABA803Shiwa
a81kwasio,A81_Kwasio,kwas1243,Kwasio,nmg,Africa,2.39354,10.0812,Atlantic-Congo,ALGABA81Kwasio
a832bekol,A832_Bekol,kolc1235,Kol (Cameroon),biw,Africa,3.65994,12.8574,Atlantic-Congo,132350
a83mekaa,A83_Mekaa,maka1304,Makaa,mcp,Africa,4.15471,13.0789,Atlantic-Congo,ALGABA83Mekaa
a841badwe,A841_Badwe,koon1245,Koonzime,ozm,Africa,3.25933,13.54152,Atlantic-Congo,Beavon2000
a84njem,A84_Njem,njye1238,Njyem,njy,Africa,2.30483,14.1175,Atlantic-Congo,Beavon1996
a85bbekwilmakokou,A85b_Bekwil_Makokou,bekw1242,Bekwil,bkw,Africa,1.71801,14.6527,Atlantic-Congo,ALGABA85bBekwilMakokou
a85bbekwilmv,A85b_Bekwil_Mv,bekw1242,Bekwil,bkw,Africa,1.71801,14.6527,Atlantic-Congo,ALGABA85bBekwilMv
a86cmpiemo,A86c_Mpiemo,mpie1238,Mpiemo,mcx,Africa,3.45776,15.5246,Atlantic-Congo,CBOLDA86cMpiemo
a87bomwali,A87_Bomwali,pomo1271,Pomo,pmm,Africa,1.83,16.17,Atlantic-Congo,29588
a91kwakum,A91_Kwakum,kwak1266,Kwakum,kwu,Africa,4.34393,13.6446,Atlantic-Congo,Belliard2007
a93kako,A93_Kako,kako1242,Kako,kkj,Africa,3.79989,15.6282,Atlantic-Congo,42305
aghemgrassfields,Aghem_Grassfields,aghe1239,Aghem,agq,Africa,6.38956,10.0807,Atlantic-Congo,ALGABAghemGrassfields
b11ampongwe,B11a_Mpongwe,myen1241,Myene,mye,Africa,-1.48741,9.50247,Atlantic-Congo,ALGABB11aMpongwe
b11borungu,B11b_Orungu,myen1241,Myene,mye,Africa,-1.48741,9.50247,Atlantic-Congo,ALGABB11bOrungu
b11cgalwa,B11c_Galwa,myen1241,Myene,mye,Africa,-1.48741,9.50247,Atlantic-Congo,ALGABB11cGalwa
b11ddyumba,B11d_Dyumba,myen1241,Myene,mye,Africa,-1.48741,9.50247,Atlantic-Congo,ALGABB11dDyumba
b11fenenga,B11F_Enenga,myen1241,Myene,mye,Africa,-1.48741,9.50247,Atlantic-Congo,ALGABB11FEnenga
b201ndasa,B201_Ndasa,ndas1238,Ndasa,nda,Africa,-2.449015,13.369465,Atlantic-Congo,ALGABB201Ndasa
b202sigu,B202_Sigu,sigh1238,Sighu,sxe,Africa,-0.95605,13.1214,Atlantic-Congo,317977
b203samaye,B203_Samaye,osam1235,Osamayi,syx,Africa,-0.012,13.61,Atlantic-Congo,163461
b204ndambomoli,B204_Ndambomo_Li,ndam1254,Ndambomo,nxo,Africa,-0.82,12.77,Atlantic-Congo,ALGABB204NdambomoLi
b204ndambomomassoukou,B204_Ndambomo_Massoukou,ndam1254,Ndambomo,nxo,Africa,-0.82,12.77,Atlantic-Congo,ALGABB204NdambomoMassoukou
b204ndambomombadi,B204_Ndambomo_Mbadi,ndam1254,Ndambomo,nxo,Africa,-0.82,12.77,Atlantic-Congo,ALGABB204NdambomoMbadi
b21seki,B21_Seki,seki1238,Seki,syi,Africa,1.52302,9.79206,Atlantic-Congo,ALGABB21Seki
b22akele,B22a_Kele,kele1257,Kélé,keb,Africa,-0.78854,10.3836,Atlantic-Congo,ALGABB22aKele
b22bkoya,B22b_Koya,ngom1270,Ngom,nra,Africa,0.882925,14.1345,Atlantic-Congo,ALGABB22bKoya
b22bngom,B22b_Ngom,ngom1270,Ngom,nra,Africa,0.882925,14.1345,Atlantic-Congo,ALGABB22bNgom
